conId,conCode,conName,conprvId,conDistrict,conOffice_Name,conOfficial_Landline,conOfficial_Mobile,conOfficial_Fax,conOfficial_Email,conOfficial_Address,conOfficial_Address_Town,conOfficial_Address_PostCode,conPopulation,conRecordArchived
1,9999,NOT IN LIST,10,UNKNOWN,,,,,,,,,,False
2,1152,BARINGO CENTRAL,11,BARINGO,,,,,,,,,,False
3,1158,BARINGO EAST,11,BARINGO,,,,,,,,,,False
4,1162,BARINGO NORTH,11,BARINGO,,,,,,,,,,False
5,1168,CHERANGANI,52,TRANS NZOIA,,,,,,,,,,False
6,1173,ELDORET EAST,54,UASIN GISHU,,,,,,,,,,False
7,1179,ELDORET NORTH,54,UASIN GISHU,,,,,,,,,,False
8,1185,ELDORET SOUTH,54,UASIN GISHU,,,,,,,,,,False
9,1191,EMGWEN,42,Nandi Central,,,,,,,,,,False
10,2294,KACHELIBA,57,WEST POKOT,,,,,,,,,,False
11,2295,KAPENGURIA,57,WEST POKOT,,,,,,,,,,False
12,1208,KEIYO NORTH,15,KEIYO,,,,,,,,,,False
13,2296,KEIYO SOUTH,15,KEIYO,,,,,,,,,,False
14,1220,KWANZA,52,TRANS NZOIA,,,,,,,,,,False
15,1226,MARAKWET EAST,15,MARAKWET,,,,,,,,,,False
16,1231,MARAKWET WEST,15,MARAKWET,,,,,,,,,,False
17,1236,MOSOP,42,NANDI,,,,,,,,,,False
18,2297,SABOTI,52,TRANS NZOIA,,,,,,,,,,False
19,1247,SIGOR,57,WEST POKOT,,,,,,,,,,False
20,1252,TINDERET,42,NANDI,,,,,,,,,,False
21,1258,TURKANA CENTRAL,53,TURKANA,,,,,,,,,,False
22,1264,TURKANA NORTH,53,TURKANA,,,,,,,,,,False
23,1270,TURKANA SOUTH,53,TURKANA,,,,,,,,,,False
24,1276,AINAMOI,22,KERICHO,,,,,,,,,120000,False
25,2298,BELGUT,22,KERICHO,,,,,,,,,,False
26,1287,BOMET,12,BOMET,,,,,,,,,,False
27,1292,BURET,12,BURETI,,,,,,,,,,False
28,1297,CHEPALUNGU,12,BOMET,,,,,,,,,,False
29,1302,ELDAMA RAVINE,11,KOIBATEK,,,,,,,,,,False
30,1308,KAJIADO CENTRAL,20,KAJIADO,,,,,,,,,,False
31,1314,KAJIADO NORTH,20,KAJIADO,,,,,,,,,,False
32,1320,KAJIADO SOUTH,20,KAJIADO,,,,,,,,,,False
33,1326,KILGORIS,43,TRANS MARA,,,,,,,,,,False
34,1332,KIPKELION,22,KERICHO,,,,,,,,,,False
35,1337,KONOIN,12,BURETI,,,,,,,,,,False
36,1342,KURESOI,41,NAKURU,,,,,,,,,,False
37,1347,LAIKIPIA EAST,30,LAIKIPIA,,,,,,,,,,False
38,1353,LAIKIPIA WEST,30,LAIKIPIA,,,,,,,,,,False
39,1359,MOGOTIO,11,KOIBATEK,,,,,,,,,,False
40,1365,MOLO,41,NAKURU,,,,,,,,,,False
41,1370,NAIVASHA,41,NAKURU,,,,,,,,,,False
42,1376,NAKURU TOWN,41,NAKURU,,,,,,,,,,False
43,1381,NAROK NORTH,43,NAROK,,,,,,,,,,False
44,1387,NAROK SOUTH,43,NAROK,,,,,,,,,,False
45,1393,RONGAI,41,NAKURU,,,,,,,,,,False
46,1398,SAMBURU EAST,47,SAMBURU,,,,,,,,,,False
47,1404,SAMBURU WEST,47,SAMBURU,,,,,,,,,,False
48,1410,SOTIK (PART),12,BOMET,,,,,,,,,,False
49,1416,SUBUKIA,41,NAKURU,,,,,,,,,,False
50,1422,CENTRAL IMENTI,36,MERU CENTRAL,,,,,,,,,,False
51,1427,GACHOKA,16,MBEERE,,,,,,,,,,False
52,1432,IGEMBE,36,MERU NORTH,,,,,,,,,,False
53,1438,ISIOLO NORTH,19,ISIOLO,,,,,,,,,,False
54,1444,ISIOLO SOUTH,19,ISIOLO,,,,,,,,,,False
55,1450,KAITI,33,MAKUENI,,,,,,,,,,False
56,1455,KANGUNDO,32,MACHAKOS,,,,,,,,,,False
57,1460,KATHIANI,32,MACHAKOS,,,,,,,,,,False
58,1465,KIBWEZI,33,MAKUENI,,,,,,,,,,False
59,1470,KILOME,33,MAKUENI,,,,,,,,,,False
60,1475,KITUI CENTRAL,28,KITUI,,,,,,,,,,False
61,1480,KITUI SOUTH,28,KITUI,,,,,,,,,,False
62,1485,KITUI WEST,28,KITUI,,,,,,,,,,False
63,1490,LAISAMIS,35,MARSABIT,,,,,,,,,,False
64,1495,MACHAKOS TOWN,32,MACHAKOS,,,,,,,,,,False
65,1500,MAKUENI,33,MAKUENI,,,,,,,,,,False
66,1505,MANYATTA,16,EMBU,,,,,,,,,,False
67,1510,MASINGA,32,MACHAKOS,,,,,,,,,,False
68,1515,MBOONI,33,MAKUENI,,,,,,,,,,False
69,1520,MSAMBWENI,29,KWALE,,,,,,,,,,False
70,1525,MUTITO,28,KITUI,,,,,,,,,,False
71,1530,MWALA,32,MACHAKOS,,,,,,,,,,False
72,1535,MWINGI NORTH,28,MWINGI,,,,,,,,,,False
73,1540,MWINGI SOUTH,28,MWINGI,,,,,,,,,,False
74,1546,CHUKA IGAMBANGOMBE,51,CHUKA IGAMBANGOMBE,,,,,,,,,,False
75,1552,NORTH HORR,35,MARSABIT,,,,,,,,,,False
76,1557,NORTH IMENTI,36,MERU CENTRAL,,,,,,,,,,False
77,1562,NTONYIRI,36,MERU NORTH,,,,,,,,,,False
78,1568,RUNYENJES,16,EMBU,,,,,,,,,,False
79,1573,SAKU,35,MARSABIT,,,,,,,,,,False
80,1579,SIAKAGO,16,MBEERE,,,,,,,,,,False
81,1585,SOUTH IMENTI,36,MERU CENTRAL,,,,,,,,,,False
82,1591,THARAKA,51,THARAKA SOUTH,,,,,,,,,,False
83,1596,TIGANIA EAST,36,MERU NORTH,,,,,,,,,,False
84,1602,TIGANIA WEST,36,MERU NORTH,,,,,,,,,,False
85,1608,YATTA,32,MACHAKOS,,,,,,,,,,False
86,1618,DAGORETI,40,DAGORETI,,,,,,,,,,False
87,1623,EMBAKASI,40,EMBAKASI,,,,,,,,,,False
88,1628,KAMUKUNJI,40,KAMUKUNJI,,,,,,,,,,False
89,1634,KASARANI,40,KASARANI,,,,,,,,,,False
90,1640,LANG'ATA,40,LANG'ATA,,,,,,,,,,False
91,1646,MAKADARA,40,MAKADARA,,,,,,,,,,False
92,1652,STAREHE,40,STAREHE,,,,,,,,,,False
93,1657,WESTLANDS,40,WESTLANDS,,,,,,,,,,False
94,1663,DUJIS,17,GARISSA,,,,,,,,,,False
95,1669,FAFI,17,GARISSA,,,,,,,,,,False
96,1675,IJARA,17,GARISSA,,,,,,,,,,False
97,1681,LAGDERA,17,GARISSA,,,,,,,,,,False
98,1687,MANDERA CENTRAL,34,MANDERA,,,,,,,,,,False
99,1692,MANDERA EAST,34,MANDERA,,,,,,,,,,False
100,1697,MANDERA WEST,34,MANDERA,,,,,,,,,,False
101,1702,WAJIR EAST,56,WAJIR,,,,,,,,,,False
102,1706,WAJIR NORTH,56,WAJIR,,,,,,,,,,False
103,1710,WAJIR SOUTH,56,WAJIR,,,,,,,,,,False
104,1714,WAJIR WEST,56,WAJIR,,,,,,,,,,False
105,1720,AMAGORO,14,TESO,,,,,,,,,,False
106,1725,BUDALANGI,14,BUSIA,,,,,,,,,,False
107,1730,BUMULA,13,BUNGOMA,,,,,,,,,,False
108,1735,BUTERE,21,BUTERE/MUMIAS,,,,,,,,,,False
109,1739,BUTULA,14,BUSIA,,,,,,,,,,False
110,1744,EMUHAYA,55,VIHIGA,,,,,,,,,,False
111,1749,FUNYULA,14,BUSIA,,,,,,,,,,False
112,1754,HAMISI,55,VIHIGA,,,,,,,,,,False
113,1760,IKOLOMANI,21,KAKAMEGA,,,,,,,,,,False
114,1765,KANDUYI,13,BUNGOMA,,,,,,,,,,False
115,1770,KHWISERO,21,BUTERE-MUMIAS,,,,,,,,,,False
116,1774,KIMILILI,13,BUNGOMA,,,,,,,,,,False
117,1779,LUGARI,21,LUGARI,,,,,,,,,,False
118,1785,LURAMBI,21,KAKAMEGA,,,,,,,,,,False
119,1790,MALAVA,21,KAKAMEGA,,,,,,,,,,False
120,1796,MATUNGU,21,BUTERE-MUMIAS,,,,,,,,,,False
121,1800,MOYALE,35,MOYALE,,,,,,,,,,False
122,1806,MUMIAS,21,BUTERE-MUMIAS,,,,,,,,,,False
123,1812,NAMBALE,14,BUSIA,,,,,,,,,,False
124,1817,SABATIA,55,VIHIGA,,,,,,,,,,False
125,1823,SHINYALU,21,KAKAMEGA,,,,,,,,,,False
126,1829,SIRISIA,13,BUNGOMA,,,,,,,,,,False
127,1835,VIHIGA,55,VIHIGA,,,,,,,,,,False
128,1840,WEBUYE,13,BUNGOMA,,,,,,,,,,False
129,1846,GATANGA,23,THIKA,,,,,,,,,,False
130,1852,GATUNDU NORTH,23,THIKA,,,,,,,,,,False
131,1857,GATUNDU SOUTH,23,THIKA,,,,,,,,,,False
132,1862,GICHUGU,25,KIRINYAGA,,,,,,,,,,False
133,1868,GITHUNGURI,23,KIAMBU,,,,,,,,,,False
134,1873,JUJA,23,THIKA,,,,,,,,,,False
135,1879,KABETE,23,KIAMBU,,,,,,,,,,False
136,1884,KANDARA,39,MARAGWA,,,,,,,,,,False
137,1889,KANGEMA,39,MURANG'A,,,,,,,,,,False
138,1895,KERUGOYA/KUTUS,25,KIRINYAGA,,,,,,,,,,False
139,1901,KIAMBAA,23,KIAMBU,,,,,,,,,,False
140,1906,KIENI,46,NYERI,,,,,,,,,,False
141,1911,KIGUMO,39,MARAGWA,,,,,,,,,,False
142,1916,KIHARU,39,MURANG'A,,,,,,,,,,False
143,1921,KINANGOP,45,NYANDARUA,,,,,,,,,,False
144,1927,KIPIPIRI,45,NYANDARUA,,,,,,,,,,False
145,1933,LARI,23,KIAMBU,,,,,,,,,,False
146,1938,LIMURU,23,KIAMBU,,,,,,,,,,False
147,1944,MARAGWA,39,MARAGWA,,,,,,,,,,False
148,1949,MATHIOYA,39,MURANG'A,,,,,,,,,,False
149,1955,MATHIRA,46,NYERI,,,,,,,,,,False
150,1960,MUKURWEINI,46,NYERI,,,,,,,,,,False
151,1965,MWEA,25,KIRINYAGA,,,,,,,,,,False
152,1971,NDARAGWA,45,NYANDARUA,,,,,,,,,,False
153,1977,NDIA,25,KIRINYAGA,,,,,,,,,,False
154,1983,NYERI TOWN,46,NYERI,,,,,,,,,,False
155,1988,OL KALOU,45,NYANDARUA,,,,,,,,,,False
156,1994,OTHAYA,46,NYERI,,,,,,,,,,False
157,2000,TETU,46,NYERI,,,,,,,,,,False
158,2007,ALEGO,48,SIAYA,,,,,,,,,789900,False
