prvCode,prvName
11,Baringo
12,Bomet
13,Bungoma
14,Busia
15,Elgeyo Marakwet
16,Embu
17,Garissa
18,Homa Bay
19,Isiolo
20,Kajiado
21,Kakamega
22,Kericho
23,Kiambu
24,Kilifi
25,Kirinyaga
26,Kisii
27,Kisumu
28,Kitui
29,Kwale
30,Laikipia
31,Lamu
32,Machakos
33,Makueni
34,Mandera
35,Marsabit
36,Meru
37,Migori
38,Mombasa
39,Murang'a
40,Nairobi
41,Nakuru
42,Nandi
43,Narok
44,Nyamira
45,Nyandarua
46,Nyeri
47,Samburu
48,Siaya
49,Taita Taveta
50,Tana River
51,Tharaka Nithi
52,Trans Nzoia
53,Turkana
54,Uasin Gishu
55,Vihiga
56,Wajir
57,West Pokot
