ID_FACILITY,svcId,svcName,Facility_Code,Facility_Name
20954,33,Rehabilitative Health Services - Occupational Health,11641,Moi District Hospital Voi
27029,33,Rehabilitative Health Services - Occupational Health,12094,Isiolo District Hospital
20923,33,Rehabilitative Health Services - Occupational Health,14224,Bahati District Hospital
33318,33,Rehabilitative Health Services - Occupational Health,16976,Gaturi Catholic Parish Dispensary
20997,33,Rehabilitative Health Services - Occupational Health,10539,Kiambu District Hospital
28585,33,Rehabilitative Health Services - Occupational Health,10777,Murang'a District Hospital
28556,33,Rehabilitative Health Services - Occupational Health,10565,Kianyaga Sub-District Hospital
28552,33,Rehabilitative Health Services - Occupational Health,10609,Kimbimbi Sub-District Hospital
33083,33,Rehabilitative Health Services - Occupational Health,10890,Nyahururu District Hospital
20918,33,Rehabilitative Health Services - Occupational Health,14179,Nandi Hills District Hospital
26413,33,Rehabilitative Health Services - Occupational Health,15719,Tenwek Mission Hospital
28570,33,Rehabilitative Health Services - Occupational Health,13726,Kuria District Hospital
20944,33,Rehabilitative Health Services - Occupational Health,15049,Lodwar District Hospital
20847,33,Rehabilitative Health Services - Occupational Health,14753,Kapsara District Hospital
28625,33,Rehabilitative Health Services - Occupational Health,15834,Busia District Hospital
28601,33,Rehabilitative Health Services - Occupational Health,12516,Meru District Hospital
20896,33,Rehabilitative Health Services - Occupational Health,14607,Kabarnet District Hospital
28600,33,Rehabilitative Health Services - Occupational Health,11094,Thika Level 5 Hospital
26510,33,Rehabilitative Health Services - Occupational Health,12488,Matuu District Hospital
28520,33,Rehabilitative Health Services - Occupational Health,12004,Embu Provincial General Hospital
28560,33,Rehabilitative Health Services - Occupational Health,12626,Mwingi District Hospital
20919,33,Rehabilitative Health Services - Occupational Health,15311,Narok District Hospital
20895,33,Rehabilitative Health Services - Occupational Health,14510,Gilgil Sub-District Hospital
33064,33,Rehabilitative Health Services - Occupational Health,12413,Consolata Kyeni Hospital
33099,33,Rehabilitative Health Services - Occupational Health,13864,Nyabondo Mission Hospital
28523,33,Rehabilitative Health Services - Occupational Health,13346,Garissa Provincial General Hospital (PGH)
20931,33,Rehabilitative Health Services - Occupational Health,14706,Kapkatet District Hospital
28521,33,Rehabilitative Health Services - Occupational Health,12438,Machakos Level 5 Hospital
28617,33,Rehabilitative Health Services - Occupational Health,12457,Makueni District Hospital
28675,33,Rehabilitative Health Services - Occupational Health,15860,Chwele Sub district hospital
28624,33,Rehabilitative Health Services - Occupational Health,10639,Kirwara Sub District
20932,33,Rehabilitative Health Services - Occupational Health,14701,Kapenguria District Hospital
30716,33,Rehabilitative Health Services - Occupational Health,11941,Balesa Dispensary
33509,33,Rehabilitative Health Services - Occupational Health,17164,Embu-Mbeere Hospice
28573,33,Rehabilitative Health Services - Occupational Health,16467,Mbeere District Hospital
28653,33,Rehabilitative Health Services - Occupational Health,14749,Kapsabet District Hospital
28677,33,Rehabilitative Health Services - Occupational Health,13704,Kisumu District Hospital
28539,33,Rehabilitative Health Services - Occupational Health,15126,Maralal District Hospital
28695,33,Rehabilitative Health Services - Occupational Health,12366,Kitui District Hospital
28664,33,Rehabilitative Health Services - Occupational Health,11973,Chuka District Hospital
14121,33,Rehabilitative Health Services - Occupational Health,16157,Vihiga District Hosptial
28547,33,Rehabilitative Health Services - Occupational Health,15051,Loitokitok District Hospital
29140,33,Rehabilitative Health Services - Occupational Health,13624,Isibania Mission Health Centre
20800,33,Rehabilitative Health Services - Occupational Health,14767,Kapsowar (AIC) Hospital
20938,33,Rehabilitative Health Services - Occupational Health,14294,Chebiemit District Hospital
20806,33,Rehabilitative Health Services - Occupational Health,14178,AIC Litein Mission Hospital
28665,33,Rehabilitative Health Services - Occupational Health,10485,Karatina District Hospital
28526,33,Rehabilitative Health Services - Occupational Health,13939,Nyanza Provincial General Hospital (PGH)
32609,33,Rehabilitative Health Services - Occupational Health,13462,Akidiva Clinic
33076,33,Rehabilitative Health Services - Occupational Health,10603,Kikuyu (PCEA) Hospital
33078,33,Rehabilitative Health Services - Occupational Health,10602,Kijabe (AIC) Hospital
28584,33,Rehabilitative Health Services - Occupational Health,12795,Tharaka District Hospital
33749,33,Rehabilitative Health Services - Occupational Health,17397,Cure (AIC) International Children's Hospital
28614,33,Rehabilitative Health Services - Occupational Health,12181,Kanyakine District Hospital
28536,33,Rehabilitative Health Services - Occupational Health,13452,Wajir County Referral Hospital
33016,33,Rehabilitative Health Services - Occupational Health,13115,Nairobi West Hospital
33022,33,Rehabilitative Health Services - Occupational Health,13042,Langata Hospital
33047,33,Rehabilitative Health Services - Occupational Health,13218,St Mary's Mission Hospital
30474,33,Rehabilitative Health Services - Occupational Health,13239,Uhuru Camp Dispensary (O P Admin Police)
29247,33,Rehabilitative Health Services - Occupational Health,12945,Future Age Medical Services
33216,33,Rehabilitative Health Services - Occupational Health,13131,Nyumbani Diagnostic Laboratory and Medical Clinic
20979,33,Rehabilitative Health Services - Occupational Health,11840,Taveta District Hospital
28529,33,Rehabilitative Health Services - Occupational Health,10924,Outspan Hospital
28519,33,Rehabilitative Health Services - Occupational Health,11740,Port Reitz District Hospital
33942,33,Rehabilitative Health Services - Occupational Health,17583,Mogonjet Dispensary
28683,33,Rehabilitative Health Services - Occupational Health,11474,Kilifi District Hospital
28518,33,Rehabilitative Health Services - Occupational Health,12177,Kangundo District Hospital
26415,33,Rehabilitative Health Services - Occupational Health,15654,St Mary's Hospital (Gilgil)
30707,33,Rehabilitative Health Services - Occupational Health,15804,Approved Dispensary
32207,33,Rehabilitative Health Services - Occupational Health,16866,Avarende Medical Clinic
20838,33,Rehabilitative Health Services - Occupational Health,15795,Alupe Sub-District Hospital
28656,33,Rehabilitative Health Services - Occupational Health,15836,Butere District Hospital
29086,33,Rehabilitative Health Services - Occupational Health,15864,Dreamland Mc Health Centre
28629,33,Rehabilitative Health Services - Occupational Health,15950,Kimilili District Hospital
12985,33,Rehabilitative Health Services - Occupational Health,15969,Lumakanda District Hospital
20882,33,Rehabilitative Health Services - Occupational Health,16150,Teso District Hospital
13562,33,Rehabilitative Health Services - Occupational Health,16091,Port Victoria Hospital
26501,33,Rehabilitative Health Services - Occupational Health,15828,Bungoma District Hospital
33092,33,Rehabilitative Health Services - Occupational Health,11600,Mewa Hospital
28599,33,Rehabilitative Health Services - Occupational Health,11507,Kwale District Hospital
28647,33,Rehabilitative Health Services - Occupational Health,11459,Kenya Navy (Mir) Hospital
33039,33,Rehabilitative Health Services - Occupational Health,11861,Tudor District Hospital (Mombasa)
28623,33,Rehabilitative Health Services - Occupational Health,11512,Lamu District Hospital
21590,33,Rehabilitative Health Services - Occupational Health,10587,Kigumo Health Centre (Kiambu East)
28674,33,Rehabilitative Health Services - Occupational Health,11555,Malindi District Hospital
27971,33,Rehabilitative Health Services - Occupational Health,13798,Mbita District Hospital
28522,33,Rehabilitative Health Services - Occupational Health,13703,Kisii Hospital (Level 5)
33051,33,Rehabilitative Health Services - Occupational Health,14028,Ram Hospital
28538,33,Rehabilitative Health Services - Occupational Health,13912,Nyamira District Hospital
20792,33,Rehabilitative Health Services - Occupational Health,15288,Nakuru Provincial General Hospital (PGH)
28515,33,Rehabilitative Health Services - Occupational Health,13194,National Spinal Injury Hospital
28701,33,Rehabilitative Health Services - Occupational Health,13359,Hagadera Hospital
28604,33,Rehabilitative Health Services - Occupational Health,14652,Kajiado District Hospital
20892,33,Rehabilitative Health Services - Occupational Health,14432,Eldama Ravine District Hospital
28563,33,Rehabilitative Health Services - Occupational Health,13402,Mandera District Hospital
26394,33,Rehabilitative Health Services - Occupational Health,11970,Chogoria (PCEA) Hospital
