fasId,fasFacility_ID,fasService_ID
1,10007,5
2,10013,5
3,10015,5
4,10015,4
5,10017,13
6,10017,5
7,10017,12
8,10017,4
9,10018,5
10,10018,12
11,10018,4
12,10020,5
13,10020,4
14,10023,5
15,10023,12
16,10023,4
17,10024,5
18,10026,5
19,10027,5
20,10027,12
21,10027,4
22,10029,5
23,10029,4
24,10032,4
25,10033,5
26,10033,4
27,10035,17
28,10036,5
29,10036,4
30,10037,5
31,10038,5
32,10038,4
33,10040,5
34,10040,4
35,10041,5
36,10041,4
37,10043,5
38,10043,4
39,10044,12
40,10044,4
41,10045,17
42,10046,5
43,10046,17
44,10048,17
45,10049,13
46,10049,5
47,10049,12
48,10049,17
49,10049,4
50,10050,5
51,10050,12
52,10050,4
53,10055,5
54,10055,12
55,10055,4
56,10056,5
57,10056,4
58,10058,5
59,10058,4
60,10060,5
61,10061,5
62,10061,17
63,10062,5
64,10062,4
65,10063,5
66,10066,5
67,10066,4
68,10068,5
69,10068,4
70,10069,5
71,10069,12
72,10069,4
73,10074,5
74,10074,12
75,10074,17
76,10074,4
77,10076,5
78,10076,12
79,10076,4
80,10077,5
81,10078,17
82,10080,5
83,10080,4
84,10081,5
85,10081,4
86,10082,5
87,10083,5
88,10083,17
89,10083,4
90,10085,5
91,10085,4
92,10088,5
93,10088,17
94,10088,4
95,10089,5
96,10089,17
97,10089,4
98,10092,5
99,10093,5
100,10095,5
101,10095,4
102,10096,5
103,10096,4
104,10097,5
105,10097,12
106,10097,4
107,10100,13
108,10100,12
109,10100,17
110,10100,4
111,10101,5
112,10101,4
113,10102,5
114,10102,12
115,10105,13
116,10105,5
117,10105,12
118,10105,4
119,10107,17
120,10110,13
121,10110,5
122,10110,12
123,10110,17
124,10110,4
125,10111,5
126,10111,12
127,10111,4
128,10121,13
129,10121,12
130,10124,5
131,10138,4
132,10139,4
133,10154,5
134,10154,12
135,10154,17
136,10154,4
137,10157,13
138,10157,5
139,10157,4
140,10158,5
141,10158,12
142,10158,4
143,10159,5
144,10160,5
145,10160,4
146,10161,5
147,10161,4
148,10162,5
149,10162,4
150,10164,5
151,10164,4
152,10165,5
153,10165,4
154,10166,5
155,10166,12
156,10166,4
157,10167,12
158,10168,5
159,10169,5
160,10170,5
161,10170,12
162,10170,17
163,10170,4
164,10171,13
165,10171,5
166,10171,4
167,10173,5
168,10173,4
169,10176,5
170,10177,5
171,10178,5
172,10178,4
173,10180,5
174,10182,5
175,10184,5
176,10184,4
177,10185,4
178,10187,5
179,10187,4
180,10190,5
181,10190,4
182,10191,5
183,10191,12
184,10191,4
185,10194,13
186,10194,5
187,10194,12
188,10194,4
189,10197,5
190,10197,4
191,10198,5
192,10199,12
193,10199,17
194,10199,4
195,10200,5
196,10200,12
197,10200,4
198,10201,5
199,10201,4
200,10202,5
201,10202,4
202,10203,5
203,10203,12
204,10203,4
205,10204,5
206,10207,5
207,10207,12
208,10207,4
209,10208,5
210,10208,12
211,10208,4
212,10210,5
213,10210,12
214,10210,4
215,10211,13
216,10211,12
217,10211,17
218,10211,4
219,10212,5
220,10212,12
221,10212,4
222,10213,5
223,10213,4
224,10214,13
225,10214,5
226,10214,12
227,10214,17
228,10214,4
229,10215,5
230,10215,12
231,10215,4
232,10217,5
233,10217,4
234,10218,5
235,10218,12
236,10218,4
237,10219,5
238,10220,5
239,10220,12
240,10221,5
241,10221,4
242,10222,5
243,10222,12
