ID_FACILITY,svcId,svcName,Facility_Code,Facility_Name
20954,57,Emergency Obstetric Care,11641,Moi District Hospital Voi
27029,57,Emergency Obstetric Care,12094,Isiolo District Hospital
20923,57,Emergency Obstetric Care,14224,Bahati District Hospital
28579,57,Emergency Obstetric Care,13357,Habaswein District Hospital
28640,57,Emergency Obstetric Care,10470,Kangema Sub-District Hospital
33311,57,Emergency Obstetric Care,16969,Katipanga Dispensary
30298,57,Emergency Obstetric Care,10625,Kiria-Ini Dispensary
33318,57,Emergency Obstetric Care,16976,Gaturi Catholic Parish Dispensary
33319,57,Emergency Obstetric Care,16977,Prisca Wakarima (ACK) Dispensary
33320,57,Emergency Obstetric Care,16978,St Peters Gaitheri (ACK) Dispensary
20997,57,Emergency Obstetric Care,10539,Kiambu District Hospital
29207,57,Emergency Obstetric Care,10637,Kiruri Dispensary (Muranga North)
28585,57,Emergency Obstetric Care,10777,Murang'a District Hospital
30133,57,Emergency Obstetric Care,10594,Kihoya Dispensary
30781,57,Emergency Obstetric Care,10335,Ichichi Dispensary
30313,57,Emergency Obstetric Care,10975,Rukanga  Health Centre
29816,57,Emergency Obstetric Care,10216,Gatheru Dispensary
30902,57,Emergency Obstetric Care,10468,Kangaru Dispensary (Kirinyaga)
29614,57,Emergency Obstetric Care,10799,Mutitu Community Dispensary
30361,57,Emergency Obstetric Care,10239,Gatwe Health Centre
30855,57,Emergency Obstetric Care,10574,Kiburu Dispensary
30933,57,Emergency Obstetric Care,10555,Kiang'ombe Dispensary
28556,57,Emergency Obstetric Care,10565,Kianyaga Sub-District Hospital
29032,57,Emergency Obstetric Care,10545,Kiamutugu Health Centre
30064,57,Emergency Obstetric Care,10379,Joshua Memorial Mbai Dispensary
31221,57,Emergency Obstetric Care,10046,Baragwi Maternity Home
28791,57,Emergency Obstetric Care,10893,Nyakianga Health Centre
28997,57,Emergency Obstetric Care,10388,Kabare Health Centre
29360,57,Emergency Obstetric Care,10566,Kiaragana Dispensary
29526,57,Emergency Obstetric Care,10647,Kutus Dispensary
29919,57,Emergency Obstetric Care,10096,Ciagini  Health Centre
30985,57,Emergency Obstetric Care,10766,Mumbuini Dispensary
29533,57,Emergency Obstetric Care,10217,Gathigiriri Health Centre
33048,57,Emergency Obstetric Care,10806,Mwea Medical Centre
29044,57,Emergency Obstetric Care,10798,Mutithi Health Centre
28926,57,Emergency Obstetric Care,10641,Kiumbu Health Centre
32462,57,Emergency Obstetric Care,10099,Comrade Nurising Home
30962,57,Emergency Obstetric Care,11164,Wamumu Dispensary
29023,57,Emergency Obstetric Care,10781,Murinduko Health Centre
30969,57,Emergency Obstetric Care,10402,Kagumo Health Centre
29627,57,Emergency Obstetric Care,16386,Gatuto Dispensary
28897,57,Emergency Obstetric Care,11130,Ucheru Community Health Centre
28806,57,Emergency Obstetric Care,10462,Kangaita Health Centre
30900,57,Emergency Obstetric Care,10229,Gatugura Dispensary
33345,57,Emergency Obstetric Care,17003,Kiraone Dispensary
33334,57,Emergency Obstetric Care,16992,Nzangathi health centre
33333,57,Emergency Obstetric Care,16991,Katulani Sub District Hospital (Kitui)
33336,57,Emergency Obstetric Care,16994,Kanzau Dispensary
33337,57,Emergency Obstetric Care,16995,St Joseph Kavisuni Dispensary
30976,57,Emergency Obstetric Care,10880,Njegas Health Centre
33339,57,Emergency Obstetric Care,16997,Zombe Catholic Dispensary
30821,57,Emergency Obstetric Care,11092,Thiba Health Centre
30974,57,Emergency Obstetric Care,10873,Nguka Health Centre
28993,57,Emergency Obstetric Care,10110,Difathas Health Centre
30950,57,Emergency Obstetric Care,10635,Kirogo Dispensary
30850,57,Emergency Obstetric Care,10504,Karumandi  Health Centre
30758,57,Emergency Obstetric Care,10197,Gaciongo Dispensary (Kirinyaga)
30828,57,Emergency Obstetric Care,13433,Sankuri Health Centre
28697,57,Emergency Obstetric Care,13298,Balambala Sub-District Hospital
33083,57,Emergency Obstetric Care,10890,Nyahururu District Hospital
30226,57,Emergency Obstetric Care,10931,Pesi Dispensary
21791,57,Emergency Obstetric Care,15594,Sirwa Dispensary
33358,57,Emergency Obstetric Care,17015,Maragi Dispensary
33359,57,Emergency Obstetric Care,17016,Kiambuthia Dispensary
24580,57,Emergency Obstetric Care,15306,Top Choice Maternity and Nursing Home
33360,57,Emergency Obstetric Care,17017,Kokotoni Dispensary
29817,57,Emergency Obstetric Care,11404,Gotani Dispensary
31516,57,Emergency Obstetric Care,16188,Mariakani Community Health Care Services
33361,57,Emergency Obstetric Care,17018,Chesongo Dispensary
33364,57,Emergency Obstetric Care,17021,Menengai Health Care Services
33365,57,Emergency Obstetric Care,17022,Toretmoi Dispensary
28679,57,Emergency Obstetric Care,11818,St Luke's (ACK) Hospital Kaloleni
29790,57,Emergency Obstetric Care,11756,Ribe Dispensary
28609,57,Emergency Obstetric Care,11566,Mariakani District Hospital
28938,57,Emergency Obstetric Care,11748,Rabai Rural Health Demonstration Centre
21284,57,Emergency Obstetric Care,14611,Kabazi Health Centre
