ID_FACILITY,svcId,svcName,Facility_Code,Facility_Name
24245,2,Condom Promotion and Distribution,14180,10 Engineer VCT
20954,2,Condom Promotion and Distribution,11641,Moi District Hospital Voi
23943,2,Condom Promotion and Distribution,11457,David Kayanda Dispensary
27029,2,Condom Promotion and Distribution,12094,Isiolo District Hospital
31951,2,Condom Promotion and Distribution,12868,Aga Khan University Hospital (Buruburu)
30740,2,Condom Promotion and Distribution,11631,Mkunumbi Dispensary
20923,2,Condom Promotion and Distribution,14224,Bahati District Hospital
21036,2,Condom Promotion and Distribution,15778,Wesley Health Centre
28598,2,Condom Promotion and Distribution,13445,Takaba District Hospital
33295,2,Condom Promotion and Distribution,16953,Waso Rongai Dispensary
30826,2,Condom Promotion and Distribution,13267,Ademasajida Dispensary
33311,2,Condom Promotion and Distribution,16969,Katipanga Dispensary
33312,2,Condom Promotion and Distribution,16970,Mariaini Dispensary
33313,2,Condom Promotion and Distribution,16971,Kagunduini Dispensary
33315,2,Condom Promotion and Distribution,16973,Openda Dispensary
33316,2,Condom Promotion and Distribution,16974,Bokimai Dispensary
33317,2,Condom Promotion and Distribution,16975,Eburi Dispensary
28914,2,Condom Promotion and Distribution,13550,Etago Sub-District Hospital
28691,2,Condom Promotion and Distribution,13406,Ijara District Hospital - Masalani
30298,2,Condom Promotion and Distribution,10625,Kiria-Ini Dispensary
33319,2,Condom Promotion and Distribution,16977,Prisca Wakarima (ACK) Dispensary
33320,2,Condom Promotion and Distribution,16978,St Peters Gaitheri (ACK) Dispensary
33321,2,Condom Promotion and Distribution,16979,Emusire Health Centre
33323,2,Condom Promotion and Distribution,16981,Riakinaro Health Centre
33324,2,Condom Promotion and Distribution,16982,Mongorisi Health Centre
28954,2,Condom Promotion and Distribution,13471,Akala Health Centre
33325,2,Condom Promotion and Distribution,16983,Hope Compassionate (ACK) Dispensary
33327,2,Condom Promotion and Distribution,16985,Oneno Dispensary
33328,2,Condom Promotion and Distribution,16986,Nyalkinyi (Jersey) Dispensary
20997,2,Condom Promotion and Distribution,10539,Kiambu District Hospital
29207,2,Condom Promotion and Distribution,10637,Kiruri Dispensary (Muranga North)
28585,2,Condom Promotion and Distribution,10777,Murang'a District Hospital
30133,2,Condom Promotion and Distribution,10594,Kihoya Dispensary
30781,2,Condom Promotion and Distribution,10335,Ichichi Dispensary
29816,2,Condom Promotion and Distribution,10216,Gatheru Dispensary
30902,2,Condom Promotion and Distribution,10468,Kangaru Dispensary (Kirinyaga)
30933,2,Condom Promotion and Distribution,10555,Kiang'ombe Dispensary
28556,2,Condom Promotion and Distribution,10565,Kianyaga Sub-District Hospital
29032,2,Condom Promotion and Distribution,10545,Kiamutugu Health Centre
30064,2,Condom Promotion and Distribution,10379,Joshua Memorial Mbai Dispensary
28791,2,Condom Promotion and Distribution,10893,Nyakianga Health Centre
28649,2,Condom Promotion and Distribution,13625,Isibania Sub-District Hospital
29279,2,Condom Promotion and Distribution,10458,Kamweti Dispensary
28997,2,Condom Promotion and Distribution,10388,Kabare Health Centre
29360,2,Condom Promotion and Distribution,10566,Kiaragana Dispensary
30007,2,Condom Promotion and Distribution,10980,Rurii Kiandegwa Dispensary
29526,2,Condom Promotion and Distribution,10647,Kutus Dispensary
29919,2,Condom Promotion and Distribution,10096,Ciagini  Health Centre
30985,2,Condom Promotion and Distribution,10766,Mumbuini Dispensary
29533,2,Condom Promotion and Distribution,10217,Gathigiriri Health Centre
29044,2,Condom Promotion and Distribution,10798,Mutithi Health Centre
28926,2,Condom Promotion and Distribution,10641,Kiumbu Health Centre
30962,2,Condom Promotion and Distribution,11164,Wamumu Dispensary
30563,2,Condom Promotion and Distribution,10093,Christian Community Services Wang'uru Dispensary
29023,2,Condom Promotion and Distribution,10781,Murinduko Health Centre
29627,2,Condom Promotion and Distribution,16386,Gatuto Dispensary
28897,2,Condom Promotion and Distribution,11130,Ucheru Community Health Centre
28806,2,Condom Promotion and Distribution,10462,Kangaita Health Centre
30900,2,Condom Promotion and Distribution,10229,Gatugura Dispensary
33345,2,Condom Promotion and Distribution,17003,Kiraone Dispensary
33334,2,Condom Promotion and Distribution,16992,Nzangathi health centre
33333,2,Condom Promotion and Distribution,16991,Katulani Sub District Hospital (Kitui)
33336,2,Condom Promotion and Distribution,16994,Kanzau Dispensary
33335,2,Condom Promotion and Distribution,16993,Syathani (Kyathani) Dispensary
30976,2,Condom Promotion and Distribution,10880,Njegas Health Centre
30821,2,Condom Promotion and Distribution,11092,Thiba Health Centre
30974,2,Condom Promotion and Distribution,10873,Nguka Health Centre
28993,2,Condom Promotion and Distribution,10110,Difathas Health Centre
30850,2,Condom Promotion and Distribution,10504,Karumandi  Health Centre
30758,2,Condom Promotion and Distribution,10197,Gaciongo Dispensary (Kirinyaga)
30828,2,Condom Promotion and Distribution,13433,Sankuri Health Centre
30843,2,Condom Promotion and Distribution,13299,Balich Dispensary
30953,2,Condom Promotion and Distribution,13430,Saka Health Centre
30841,2,Condom Promotion and Distribution,13324,Danyere Health Centre
30839,2,Condom Promotion and Distribution,13376,Jarajara Dispensary
28697,2,Condom Promotion and Distribution,13298,Balambala Sub-District Hospital
30840,2,Condom Promotion and Distribution,13331,Dujis Health Centre
29854,2,Condom Promotion and Distribution,13448,Utawala Dispensary
29935,2,Condom Promotion and Distribution,13382,Korakora Health Centre
30775,2,Condom Promotion and Distribution,16288,Libahlow Nomadic Clinic
30878,2,Condom Promotion and Distribution,13408,Medina Health Centre
30159,2,Condom Promotion and Distribution,13431,Sangailu Health Centre
30164,2,Condom Promotion and Distribution,13385,Kotile Health Centre
30343,2,Condom Promotion and Distribution,10672,Maina Village Dispensary
33083,2,Condom Promotion and Distribution,10890,Nyahururu District Hospital
30226,2,Condom Promotion and Distribution,10931,Pesi Dispensary
33357,2,Condom Promotion and Distribution,17014,Kipkoror Dispensary
21791,2,Condom Promotion and Distribution,15594,Sirwa Dispensary
32687,2,Condom Promotion and Distribution,11921,Afya Njema Clinic
33360,2,Condom Promotion and Distribution,17017,Kokotoni Dispensary
29817,2,Condom Promotion and Distribution,11404,Gotani Dispensary
31516,2,Condom Promotion and Distribution,16188,Mariakani Community Health Care Services
33362,2,Condom Promotion and Distribution,17019,Kapkomoi Dispensary
33364,2,Condom Promotion and Distribution,17021,Menengai Health Care Services
28679,2,Condom Promotion and Distribution,11818,St Luke's (ACK) Hospital Kaloleni
