fcode,fname,Lat,Long,mGeoCode,sGeoCode,date_of_geocode
11820,St Mary's Medical Clinic (Malindi),-2.86033,40.14977,Taken with GPS Device,SARAM 2013,2013-04-13
11364,Egah Medical Clinic,-3.22176,40.11403,Taken with GPS Device,SARAM 2013,2013-04-13
11564,Marereni Medical Clinic,-2.86353,40.14839,Taken with GPS Device,SARAM 2013,2013-04-13
11896,Watamu Maternity And Nursing Home,-3.34342,40.01389,Taken with GPS Device,SARAM 2013,2013-04-23
11677,Municipal Health Centre,-3.23304,40.11508,Taken with GPS Device,SARAM 2013,2013-04-13
11520,Likoni Catholic Dispensary,-4.0992,39.64575,Taken with GPS Device,SARAM 2013,2013-04-16
16525,San Marco Project Clinic,-2.99605,40.19492,Taken with GPS Device,SARAM 2013,2013-04-13
17970,Similani Medical Clinic,-2.86147,40.14847,Taken with GPS Device,SARAM 2013,2013-04-10
11556,Malindi Care Services Limited,-3.22654,40.12387,Taken with GPS Device,SARAM 2013,2013-04-19
11895,Watamu Dispensary,-3.35234,40.0136,Taken with GPS Device,SARAM 2013,2013-04-13
11200,Afya Bora Medical Clinic (Malindi),-2.86282,40.1482,Taken with GPS Device,SARAM 2013,2013-04-10
11388,Gede Medical Clinic,-3.34284,40.01311,Taken with GPS Device,SARAM 2013,2013-04-11
11844,Tawheed Dispensary,-3.21693,40.11485,Taken with GPS Device,SARAM 2013,2013-04-13
11851,Timboni Community Dispensary,-3.34844,40.0117,Taken with GPS Device,SARAM 2013,2013-04-13
11843,Tawfiq Muslim Hospital,-3.22078,40.11293,Taken with GPS Device,SARAM 2013,2013-04-11
11894,Watamu Community Health Care,-3.35224,40.02191,Taken with GPS Device,SARAM 2013,2013-04-17
11722,Nyali Barracks Dispensary,-4.04052,39.71066,Taken with GPS Device,SARAM 2013,2013-05-08
11829,Star Hospital,-3.21473,40.1188,Taken with GPS Device,SARAM 2013,2013-04-13
11836,Takaungu Dispensary,-3.68301,39.86112,Taken with GPS Device,SARAM 2013,2013-04-13
11897,Watamu hospital,-3.36216,40.00164,Taken with GPS Device,SARAM 2013,2013-04-11
11260,Borabu Medical Clinic,-3.96966,39.73333,Taken with GPS Device,SARAM 2013,2013-04-15
11570,Marie Stopes Mombasa Nursing Home,-4.06057,39.66324,Taken with GPS Device,SARAM 2013,2013-04-12
11288,Chumani Medical Clinic,-3.47405,39.8989,Taken with GPS Device,SARAM 2013,2013-04-16
11664,Mtangani Medical Clinic,-3.20494,40.10209,Taken with GPS Device,SARAM 2013,2013-04-12
11707,Neema Medical Clinic (Malindi),-3.03775,40.13759,Taken with GPS Device,SARAM 2013,2013-04-10
11715,Ngomeni Dispensary (Malindi),-2.99997,40.18708,Taken with GPS Device,SARAM 2013,2013-04-13
11758,Roka Maweni Dispensary,-3.4436,39.92867,Taken with GPS Device,SARAM 2013,2013-04-10
11824,St Peter's Hospital,-3.23281,40.12563,Taken with GPS Device,SARAM 2013,2013-04-11
11208,Al Farooq Hospital,-4.04899,39.66513,Taken with GPS Device,SARAM 2013,2013-04-20
11482,Kingstone Medical Clinic,-4.08559,39.6617,Taken with GPS Device,SARAM 2013,2013-04-14
11770,Santa Maria Medical Clinic,-4.09207,39.65824,Taken with GPS Device,SARAM 2013,2013-04-14
11632,David Kariuki Medical Centre,-3.21872,40.12152,Taken with GPS Device,SARAM 2013,2013-04-13
11759,Royal Health Care,-3.21658,40.12222,Taken with GPS Device,SARAM 2013,2013-04-13
11833,Sun n' Sand Medical Clinic,-3.89575,39.79139,Taken with GPS Device,SARAM 2013,2013-04-15
17886,Al-amin Medical Clinic,-3.21457,40.11477,Taken with GPS Device,SARAM 2013,2013-04-18
17893,Mzizima (CDF) Dispensary,-4.60703,39.3496,Taken with GPS Device,SARAM 2013,2013-04-23
11314,Dr Bernad M Oduor Clinic,-3.21718,40.11979,Taken with GPS Device,SARAM 2013,2013-04-19
11401,Gongoni Health Centre,-3.0364,40.13346,Taken with GPS Device,SARAM 2013,2013-04-11
11713,Ngerenya Dispensary,-3.51368,39.86228,Taken with GPS Device,SARAM 2013,2013-04-11
11306,Didewaride Dispensary,-2.41803,40.59781,Taken with GPS Device,SARAM 2013,2013-04-10
11854,Tononoka Administration Police Dispensary & VCT,-4.0475,39.66935,Taken with GPS Device,SARAM 2013,2013-04-17
16534,Bombolulu Staff Clinic,-4.02185,39.70224,Taken with GPS Device,SARAM 2013,2013-05-08
11555,Malindi District Hospital,-3.22649,40.1247,Taken with GPS Device,SARAM 2013,2013-04-10
11808,St Andrews Medical Clinic,-3.03411,40.1374,Taken with GPS Device,SARAM 2013,2013-04-13
11893,Watamu (SDA) Dispensary,-3.35381,40.01782,Taken with GPS Device,SARAM 2013,2013-04-11
19016,Blue Nile Medical Clinic,-3.60981,39.85414,Taken with GPS Device,SARAM 2013,2013-04-11
11563,Marereni Dispensary,-2.86296,40.14481,Taken with GPS Device,SARAM 2013,2013-04-10
11567,Marie Stopes Kenya Clinic (Malindi),-3.21487,40.1178,Taken with GPS Device,SARAM 2013,2013-04-18
11580,Matsangoni Model  Health Centre,-3.38952,39.9285,Taken with GPS Device,SARAM 2013,2013-04-12
11678,Muyeye Medical Clinic,-3.24161,40.11486,Taken with GPS Device,SARAM 2013,2013-04-18
11796,Siloam Medical Clinic (Malindi),-3.228,40.11308,Taken with GPS Device,SARAM 2013,2013-04-19
16180,Heri Medical Centre,-3.53395,39.87975,Taken with GPS Device,SARAM 2013,2013-04-20
11402,Gongoni Medical Clinic,-3.036,40.13608,Taken with GPS Device,SARAM 2013,2013-04-13
11667,Mtondia Dispensary,-3.57878,39.86885,Taken with GPS Device,SARAM 2013,2013-04-15
11848,Tezo Community Health Care,-3.53496,39.87941,Taken with GPS Device,SARAM 2013,2013-04-18
11876,Uzima Medical Clinic (Kilifi),-3.3878,39.92755,Taken with GPS Device,SARAM 2013,2013-04-11
17887,Venoma Medical Clinic,-3.20741,40.11651,Taken with GPS Device,SARAM 2013,2013-04-13
18324,Pumzika Medical Clinic,-3.95112,39.74316,Taken with GPS Device,SARAM 2013,2013-04-10
18749,Serena Beach Hotel & SPA Staff Clinic,-3.97185,39.7502,Taken with GPS Device,SARAM 2013,2013-04-16
11855,Town Centre Medical Clinic,-3.22192,40.11435,Taken with GPS Device,SARAM 2013,2013-04-13
11233,Badria Medical Clinic,-4.04235,39.68392,Taken with GPS Device,SARAM 2013,2013-04-15
11319,Dr Dhutia Clinic,-4.03576,39.66257,Taken with GPS Device,SARAM 2013,2013-04-10
16442,Genesis Medicare,-4.01146,39.69423,Taken with GPS Device,SARAM 2013,2013-04-11
11387,Gede Health Centre,-3.30853,40.01106,Taken with GPS Device,SARAM 2013,2013-04-13
11692,Mwanzo Medical Clinic,-3.94539,39.74677,Taken with GPS Device,SARAM 2013,2013-04-12
18325,New Mwema Medical Clinic,-3.9482,39.74094,Taken with GPS Device,SARAM 2013,2013-05-29
11273,CDC Ganjoni Dispensary,-4.06398,39.66609,Taken with GPS Device,SARAM 2013,2013-04-15
11397,Shimo Borstal Dispensary (GK Prison),-3.96818,39.73365,Taken with GPS Device,SARAM 2013,2013-04-15
16544,St. Anne Medical Centre (Mombasa),-4.03561,39.69071,Taken with GPS Device,SARAM 2013,2013-04-20
18844,HighRise Medical Clinic,-4.00463,39.71152,Taken with GPS Device,SARAM 2013,2013-04-17
11293,Cowdray Dispensary,-3.28859,40.07671,Taken with GPS Device,SARAM 2013,2013-04-12
11528,Maamba Medical Clinic,-3.91889,39.76094,Taken with GPS Device,SARAM 2013,2013-04-13
16527,StanBridge Care Centre,-3.2198,40.10569,Taken with GPS Device,SARAM 2013,2013-04-13
11788,Shimo La Tewa High School Dispensary,-3.96036,39.74356,Taken with GPS Device,SARAM 2013,2013-05-10
11696,Mwawesa Medical Clinic,-3.22309,40.10757,Taken with GPS Device,SARAM 2013,2013-04-11
11731,Palani Health Care Clinic,-4.03219,39.68243,Taken with GPS Device,SARAM 2013,2013-04-11
16536,Community Medical Centre (Kongowea),-4.04246,39.68632,Taken with GPS Device,SARAM 2013,2013-04-15
17233,Maweni CDF Dispensary (Kongowea),-4.03833,39.69512,Taken with GPS Device,SARAM 2013,2013-04-15
15396,Olemila VCT Centre,0.20325,35.10533,Taken with GPS Device,SARAM 2013,2013-04-24
16178,Kwetu VCT,-3.58219,39.42829,Taken with GPS Device,SARAM 2013,2013-04-15
16528,Subira Medical Clinic,-3.21354,40.09913,Taken with GPS Device,SARAM 2013,2013-04-19
17884,Serena medical clinic,-3.22709,40.10338,Taken with GPS Device,SARAM 2013,2013-04-13
11621,Mishoroni Dispensary,-4.01894,39.68344,Taken with GPS Device,SARAM 2013,2013-04-13
11767,Samba Medical Clinic,-4.02442,39.68785,Taken with GPS Device,SARAM 2013,2013-04-17
11807,Sparki Health Services,-4.04195,39.66153,Taken with GPS Device,SARAM 2013,2013-04-13
16441,Bona Medical Clinic,-4.00269,39.69856,Taken with GPS Device,SARAM 2013,2013-04-11
11362,Ebenezer Medical Clinic (Malindi),-3.21881,40.1053,Taken with GPS Device,SARAM 2013,2013-04-11
11659,Msumarini Dispensary,-3.87227,39.79793,Taken with GPS Device,SARAM 2013,2013-04-10
11661,Mt Harmony Clinic,-3.94607,39.74022,Taken with GPS Device,SARAM 2013,2013-04-12
11912,Zion Community Clinic,-3.93024,39.74955,Taken with GPS Device,SARAM 2013,2013-04-12
18496,Pendo Medical Clinic,-4.28058,39.56725,Taken with GPS Device,SARAM 2013,2013-04-10
18071,Barsheba Medical Clinic,-4.00313,39.71214,Taken with GPS Device,SARAM 2013,2013-04-17
11651,Mrima (Catholic) Dispensary,-4.49113,39.24639,Taken with GPS Device,SARAM 2013,2013-04-12
11654,St Marys Msabaha Catholic Dispensary,-3.26492,40.0516,Taken with GPS Device,SARAM 2013,2013-04-12
11324,Dr Gathuo Clinic,-4.04906,39.67352,Taken with GPS Device,SARAM 2013,2013-04-19
11325,Dr Gikandi Clinic,-4.04906,39.67352,Taken with GPS Device,SARAM 2013,2013-04-18
11339,Dr Mahero Clinic,-4.04906,39.67352,Taken with GPS Device,SARAM 2013,2013-04-19
11341,Dr Marami Clinic,-4.04906,39.67352,Taken with GPS Device,SARAM 2013,2013-04-15
11343,Dr Miyalla Clinic,-4.04906,39.67352,Taken with GPS Device,SARAM 2013,2013-04-19
11345,Dr N Mwangome Clinic,-4.04906,39.67352,Taken with GPS Device,SARAM 2013,2013-05-01
11348,Dr Okanga J.B.O,-4.04906,39.67352,Taken with GPS Device,SARAM 2013,2013-04-18
11375,Family Health Options Kenya (FHOK) Mombasa,-4.06221,39.67152,Taken with GPS Device,SARAM 2013,2013-04-19
11793,Shukrani Medical Clinic,-4.04336,39.68613,Taken with GPS Device,SARAM 2013,2013-04-15
16531,Avenue Health Care,-4.04906,39.67352,Taken with GPS Device,SARAM 2013,2013-04-17
17975,Tayabi Medical and Dental Centre,-4.04317,39.68512,Taken with GPS Device,SARAM 2013,2013-05-10
11298,Danrose Clinic,-3.23561,40.09756,Taken with GPS Device,SARAM 2013,2013-04-19
11380,Gahaleni Dispensary,-3.27017,40.0951,Taken with GPS Device,SARAM 2013,2013-04-16
17885,Imani Medical Services,-3.22051,40.1034,Taken with GPS Device,SARAM 2013,2013-04-11
11888,Waa Health Centre,-4.17348,39.60243,Taken with GPS Device,SARAM 2013,2013-04-11
11234,Bahari Medical Clinic,-4.08577,39.65958,Taken with GPS Device,SARAM 2013,2013-04-18
11626,Mjeni Medical Clinic,-4.0361,39.69119,Taken with GPS Device,SARAM 2013,2013-04-20
11721,AAR Nyali Health Care,-4.02797,39.71669,Taken with GPS Device,SARAM 2013,2013-04-15
11751,Rainbow Community Care,-3.18099,40.11512,Taken with GPS Device,SARAM 2013,2013-04-13
